,Date,Open,High,Low,Close,Volume,Market_Cap,Spread,Month_Year,Unemployment_Percentage,USDI,Y_Average,DOW_Close,NASDAQ_Close,SP500_Close,Average_Close
264,2014-01-17,834.49,842.91,797.63,814.64,39031700.0,10000663202.0,45.28,2014-01,6.6,81.22,822.4175,16458.56055,4197.580078,1838.699951,7498.280192999999
268,2014-01-21,869.65,881.2,855.93,863.91,18997300.0,10620283205.0,25.27,2014-01,6.6,81.1,867.6724999999999,16414.43945,4225.759765999999,1843.800049,7494.666421666668
269,2014-01-22,867.21,870.15,837.36,845.59,18453700.0,10399573174.0,32.79,2014-01,6.6,81.17,855.0775000000001,16373.33984,4243.0,1844.859985,7487.0666083333335
270,2014-01-23,845.46,851.57,819.32,822.04,15607100.0,10113558120.0,32.25,2014-01,6.6,80.44,834.5975000000001,16197.34961,4218.879883,1828.459961,7414.896484666667
271,2014-01-24,822.43,822.43,783.58,797.07,34912000.0,9810138293.0,38.85,2014-01,6.6,80.46,806.3775,15879.11035,4128.169922,1790.290039,7265.856770333333
274,2014-01-27,884.6,893.0,757.11,771.39,49233600.0,9503544085.0,135.89,2014-01,6.6,80.52,826.525,15837.87988,4083.610107,1781.560059,7234.350015333333
275,2014-01-28,774.02,832.5,766.98,812.51,44875500.0,10013251364.0,65.52,2014-01,6.6,80.57,796.5025,15928.55957,4097.959961,1792.5,7273.006510333333
276,2014-01-29,809.96,836.87,809.85,826.0,17984400.0,10182659550.0,27.02,2014-01,6.6,80.5,820.67,15738.79004,4051.429932,1774.199951,7188.139974333332
277,2014-01-30,826.02,830.5,799.06,819.03,29918200.0,10100339387.0,31.44,2014-01,6.6,81.08,818.6524999999999,15848.61035,4123.129883,1794.189941,7255.310058
278,2014-01-31,818.43,831.87,812.6,829.92,17107900.0,10238411820.0,19.27,2014-01,6.6,81.31,823.205,15698.84961,4103.879883,1782.589966,7195.106486333333
281,2014-02-03,824.08,826.48,807.22,823.83,13940100.0,10174774202.0,19.26,2014-02,6.7,81.01,820.4024999999999,15372.799809999999,3996.959961,1741.890015,7037.216595333332
282,2014-02-04,823.77,840.17,820.94,827.96,16609700.0,10229342305.0,19.23,2014-02,6.7,81.12,828.21,15445.240230000001,4031.5200200000004,1755.199951,7077.320067000001
283,2014-02-05,829.96,837.32,811.91,811.91,22395100.0,10034436286.0,25.41,2014-02,6.7,81.04,822.775,15440.230469999999,4011.5500490000004,1751.640015,7067.806844666667
284,2014-02-06,815.59,819.81,770.59,781.55,50108700.0,9662791119.0,49.22,2014-02,6.7,80.91,796.885,15628.53027,4057.1201170000004,1773.430054,7153.026813666667
285,2014-02-07,783.2,783.2,654.35,712.4,113643000.0,8810607000.0,128.85,2014-02,6.7,80.69,733.2875,15794.080080000002,4125.859863000001,1797.02002,7238.986654333334
288,2014-02-10,681.32,703.71,550.5,681.03,112758000.0,8430742782.0,153.21,2014-02,6.7,80.64,654.1400000000001,15801.79004,4148.169922,1799.839966,7249.933309333333
289,2014-02-11,683.5,712.46,636.66,672.17,72745200.0,8323817195.0,75.8,2014-02,6.7,80.64,676.1975,15994.769530000001,4191.049805,1819.75,7335.189778333333
290,2014-02-12,672.38,672.9,643.04,651.72,25367600.0,8073458481.0,29.86,2014-02,6.7,80.68,660.01,15963.94043,4201.290039,1819.2600100000002,7328.163493000001
291,2014-02-13,651.08,657.99,601.91,605.24,38588100.0,7500376176.0,56.08,2014-02,6.7,80.32,629.0550000000001,16027.58984,4240.669922,1829.8299559999998,7366.029906000001
292,2014-02-14,601.17,691.72,541.04,661.99,102506000.0,8206805878.0,150.68,2014-02,6.7,80.15,623.98,16154.38965,4244.02002,1838.630005,7412.346558333334
296,2014-02-18,627.16,645.76,612.54,626.6,20015100.0,7779035355.0,33.22,2014-02,6.7,80.01,628.015,16130.40039,4272.779785,1840.7600100000002,7414.646728333334
297,2014-02-19,625.97,631.77,618.7,623.03,13897800.0,7737830115.0,13.07,2014-02,6.7,80.14,624.8675000000001,16040.55957,4237.950195,1828.75,7369.086588333333
298,2014-02-20,623.09,627.73,556.14,556.14,46905000.0,6909538974.0,71.59,2014-02,6.7,80.29,590.775,16133.230469999999,4267.549805,1839.780029,7413.520101333333
299,2014-02-21,556.88,582.96,530.47,574.16,47308100.0,7135603064.0,52.49,2014-02,6.7,80.24,561.1175000000001,16103.299809999999,4263.410156,1836.25,7400.986655333333
302,2014-02-24,606.04,607.61,538.7,546.32,57893900.0,6796971990.0,68.91,2014-02,6.7,80.2,574.6675,16207.13965,4292.970215,1847.609985,7449.239949999999
303,2014-02-25,540.24,541.38,420.41,538.71,126314000.0,6704461434.0,120.97,2014-02,6.7,80.14,510.185,16179.66016,4287.589844,1845.119995,7437.456666333334
304,2014-02-26,537.04,603.8,532.58,582.69,64642700.0,7254505067.0,71.22,2014-02,6.7,80.43,564.0275,16198.41016,4292.060059,1845.160034,7445.210084333333
305,2014-02-27,581.65,594.05,566.62,578.77,25540800.0,7208406719.0,27.43,2014-02,6.7,80.28,580.2724999999999,16272.65039,4318.930176,1854.290039,7481.956868333334
306,2014-02-28,579.7,584.14,545.17,549.26,28076100.0,6843353924.0,38.97,2014-02,6.7,79.69,564.5675000000001,16321.70996,4308.120117,1859.449951,7496.426675999999
